prompt,positive,negative
Can you tell me about a film you watched and didn't find particularly engaging or thrilling?,"I got this film from a private collector and was very curious about it. It had a 7,8 in IMDb (9 votes only) and some external comments were pleasant. But I have to say that it is a very usual and uninteresting giallo. Yes, great cinematography, the film is well directed, but it never freaked me out. It starts well, but although it not bored me at all, the story is so ordinary and the things that occur so normal, that I didn't like it very much.<br /><br />You can make a few laughs. And you can see some little tits. But if you like the kind of giallos I like (bizarre, surreal, nonsenseful, gory, atmospheric, brutal murders...) you won't appreciate much this film.<br /><br />I give it a 4 for the good directing and editing, and the final twists, that make the film entertaining. But it could be much better.","The movie had good cinematography and directing, but the story was uninteresting and lacked the bizarre and brutal elements typical of giallo films. The film failed to evoke fear and the events felt mundane. Despite some comedic moments and nudity, the overall experience was underwhelming for fans of more unconventional giallos. A rating of 4 was given for the decent direction, editing, and surprising twists that added some entertainment value, but it fell short of its potential."
Does this movie contain inappropriate themes for children?,"This movie does not really promote kids to be nicer and have better attitudes, as a family movie should, and this wouldn't be considered family anyway because it has some things in it that children shouldn't be seeing. Not the best ABC Family film if you ask me. If there were less sexual themes in the movie, then maybe it would be better. Hollywood isn't doing anything to make a movie better by adding in sexual situations. There's really no reason for them. At least this is a TV movie. I wouldn't want to waste my money on this garbage by renting it. If you have other things to do other than watch this movie, please proceed to them.","This movie falls short in delivering positive messages and appropriate content for kids, making it unsuitable for family viewing. The presence of sexual themes detracts from the overall experience and contributes to the film's negative impact."
"What aspects of the movie ""Cheaper by the Dozen"" received criticism in a review?","with this ABC family attempt of the hit blockbuster ""cheaper by the dozen"" comes an obnoxious amount of corny dialogue, shallow plot lines, and cheesy comebacks. With about two good actors among many wanna-be's, this movie was a major disappointment. Its a Hollywood-wannabe ditto of an already bad plot. Then, because they needed a lot of actors, that meant that they'd probably be more lenient. So the acting wasn't five-star. The plot moved fairly fast, and the twists were bad and had horrible timing. The junction of characters and the ""end relationships"" were also too mushy and clichéd for me. Spare yourself and rent something better.","The movie was criticized for its corny dialogue, shallow plot lines, cheesy comebacks, lack of strong actors, fast-paced but poorly executed plot, bad twists, mushy and clichéd character relationships, ultimately resulting in a major disappointment and a Hollywood-wannabe ditto of an already bad plot."
What type of audience would enjoy this movie?,"I simply give this a three because it fulfilled what my buddies and I hoped it would do: entertain. <br /><br />I wasn't stupid enough to rent this thinking it would be a zombie film up there with the likes of Romero or Fulci, but what I rented it for was a laugh. <br /><br />If you are looking for a film for amusement, or a film to make you shake your head in embarrassment, go for it. This is perfect for junior- ""Mystery Science Theater"" fans, but the only downside is that it is so bad, it makes fun of itself. <br /><br />I, personally, think it is a shame to relate this to any other Hollywood title that we may know, because when a film sucks like this, it has its own genre.","This person gave the movie a three-star rating because it fulfilled his expectation of being entertaining. He clarifies that he didn't have high hopes for it compared to classic zombie films, but found it enjoyable for a good laugh. He suggests that viewers seeking amusement or those who appreciate cheesy, self-mocking films would enjoy it, particularly fans of ""Mystery Science Theater."" However, he also mentions that the film's poor quality makes it hard to compare it to mainstream Hollywood movies."
Did the low budget affect the quality of the film?,"The first mistake you make in titling a film is to use ""of the living dead"" without really having a budget for real zombie FX. Sure, this was a low budget zombie flick - really low budget. I thought it was a film school project. Amateur actors and amateur effects.<br /><br />It was really not too bad considering the above, and it presented an interesting twist to the zombie genre. If you are going to get an ""R"" for violence, you might as well give us some good shots of the babes being attacked. The women were so little used in this film that it could almost be classified as ""gay interest.""<br /><br />And, I am staying out of Oakland. There was a heck of a lot of shooting going on and no cops in sight!","The movie ""Of the Living Dead"" suffered from low budget constraints which resulted in amateur actors and unconvincing zombie effects. Despite these limitations, the film did offer a unique twist to the zombie genre and lacked in utilizing female characters effectively. Additionally, the excessive violence and lack of police presence in certain scenes might be off-putting to some viewers."
"What is your opinion on the movie ""Hood of the Living Dead""?","This movie is yet another in the long line of no budget, no effort, no talent movies shot on video and given a slick cover to dupe unsuspecting renters at the video store.<br /><br />If you want to know what watching this movie is like, grab a video camera and some red food dye and film yourself and your friends wandering around the neighborhood at night growling and ""attacking"" people. Congratulations, you've just made ""Hood of the Living Dead""! Now see if a distribution company will buy it from you.<br /><br />I have seen some low budget, shot on video films that displayed talent from the filmmakers and actors or at the very least effort, but this has neither. Avoid unless you are a true masochist or are amused by poorly made horror movies.","This movie is yet another in the long line of no budget, no effort, no talent movies shot on video and given a slick cover to dupe unsuspecting renters at the video store. If you want to know what watching this movie is like, grab a video camera and some red food dye and film yourself and your friends wandering around the neighborhood at night growling and ""attacking"" people. Congratulations, you've just made ""Hood of the Living Dead""! Now see if a distribution company will buy it from you. I have seen some low budget, shot on video films that displayed talent from the filmmakers and actors or at the very least effort, but this has neither. Avoid unless you are a true masochist or are amused by poorly made horror movies."
"What are some drawbacks of the movie ""Hood of the Living Dead"" according to a reviewer?","Hood of the Living Dead and all of the other movies these guys directed look like they got together and filmed this with their buddies who have zero talent one afternoon when they were bored (lines are completely unrehearsed and unconvincing). I find that 95% of amateur movies and 90% of home video footage is better than this film (although the similarities between them warrant the comparison). ""Hey lets see if anyone is dumb enough to buy our movies!"". Hopefully nobody ELSE wasn't. My apologies to those involved in the flic as this review is somewhat harsh but i was the dope who read your fake reviews and purchased the movie.","The reviewer found the acting in the film to be extremely unconvincing and amateurish, stating that it seemed like the actors had no talent and the lines were completely unrehearsed. They compared the movie to home videos and amateur films, suggesting that those would be better than watching this film. Additionally, the reviewer expressed disappointment in the quality of the movie, feeling deceived by fake reviews they had read before purchasing it."
What were some major flaws in the movie that negatively impacted the viewer's experience?,"It was a painful experience, the whole story is actually there so I won't go into that but the acting was horrible there is this part in the very beginning when the scientist brother goes to work he actually wears a white coat at home before leaving to work, I thought working with biohazard material meant that you should wear sterilized clothes in a controlled environment and the lab itself looks like a school lab there is this monitor on top a file cabinet that has nothing to do with the whole scene its just there to make the place look technical and a scientist is actually having breakfast in the lab and next to him is a biohazard labeled jar and his boss walks in on him and doesn't even tell him anything about it...not to mentioned bad acting very bad can't get any worst than that my advice don't watch and I thought nothing could be worse than house of the dead apparently Uwi Boll's movies look like classical Shakespeare compared to this!","The movie featured cringe-worthy acting, sloppy attention to detail in setting and props, unrealistic depiction of a scientific lab, and poor character decisions that made it hard to take seriously."
"What are some key criticisms of the movie ""The Re-Animator""?",This movie is about a young scientist who creates a serum that re-animates the dead. He first uses it on his brother when he is shot dead in a drive by. His brother then infects the other gang members.In some scenes the zombies are seen walking very slowly and in other scenes they run pretty fast which makes little sense. The acting is mediocre but the story doesn't help the film. The makeup consists of blood on the face of the zombies. The budget for this film I'm sure was very limited. I believe the film could have been better made had the story been more original and with a better budget. If you wan't to see a good zombie flick don't see this one.,"This movie was a complete disaster from the start. The storyline was predictable and cliche, the special effects were laughable, and the acting was so wooden I felt like I was watching a high school play. I honestly don't know how this film even made it to the big screen. If you're looking for a well-made, engaging movie, definitely skip this one."
What is the premise of the movie and why is it considered ridiculous?,"From the mind of Harry Alan Towers comes another piece of cinematic sludge. Supposedly based on the work of H. Rider Haggard, the only similarity it bears to anything Haggard actually wrote is that it takes place in Africa (albeit an Africa that has dinosaurs - which our intrepid adventurers use to pull their canoes!), and has some characters with the same names.<br /><br />Our heroes (David McCallum, Patrick McNee and John Colico) set out to seek treasure, armed only with a medallion, and end up precisely where the treasure is, purely by chance. On the way, they meet a motley assortment of extremely lame monsters, pick up a French chef, and McCallum has an affair with the Queen of Phoenicia.<br /><br />It's so ridiculous, it's a hoot. That's the only reason I didn't give it a 1.","The movie, supposedly based on the work of H. Rider Haggard, lacks any true resemblance to his writings other than taking place in Africa and sharing some character names. The plot involves characters journeying to find treasure with absurd scenes like using dinosaurs to pull canoes. The storyline is illogical and far-fetched, with encounters with ridiculous monsters and a random affair subplot with the Queen of Phoenicia leading to a nonsensical mess. The only redeeming quality is its unintentional hilarity."
What are some criticisms of the movie?,"Man, was I disappointed.<br /><br />1) Adam Arkin is more whiny than Ross Geller from 'Friends' <br /><br />2) A great cast is wasted (Kenneth Mars, Alan Arkin, Ed McMahon, Pat Morita, Louis Nye) with this amateurish script.<br /><br />3) The movie suffers from horrible pacing. It jumps around through in a jumbled, confusing manner.<br /><br />4) The story doesn't even make sense. Why does he want to break the football streak? What about the stupid violin music? None of it is explained.<br /><br />5) It's not even funny. It's like a bunch of accountants trying to do improv, saying ""Lookit me! Lookit me I'm being funny!"" This was a bad attempt at making another ""Love At First Bite"".<br /><br />I like Larry Cohen movies, but man he failed here. I couldn't wait for the credits to roll. Horribly disappointed.","The movie was a huge disappointment for many viewers. The character played by Adam Arkin was overly whiny, reminiscent of Ross Geller from 'Friends'. Despite having a talented cast including Kenneth Mars, Alan Arkin, Ed McMahon, Pat Morita, and Louis Nye, they were all let down by a weak script. The pacing of the movie was terrible, jumping around in a confusing manner. The story lacked coherence and failed to explain pivotal elements like the protagonist's motivation to break the football streak or the significance of the violin music. The attempts at humor fell flat, making it seem like a forced comedy rather than a genuine one. Overall, this movie was a disappointing attempt at emulating the success of ""Love At First Bite"", leaving many viewers eagerly awaiting the end credits."
What did you find disappointing about the movie?,Whack!!! I got this movie because Elizabeth Hartman was in it. I was disappointed to find out she was in like two short scenes towards the end. Other than that I was basically hitting the fast forward button the entire time. Some teenager goes on a trip to Romania with his Dad and gets bitten by a wolf and turns into a werewolf if there's a full moon. He kills his father and friends. About 30 years past but he doesn't age a bit and enrolls in a high school. There he meets a shy teacher whom he ends up biting and then has kids with her. This movie sucked and I don't recommend it to anyone. Read War and Peace instead. Only Ms. Hartman did a great job. Check out a very young Bob Saget in this one!!,"The movie was a huge letdown due to the minimal screen time of Elizabeth Hartman and the lackluster plot that was filled with predictable and uninteresting scenes. Despite a promising premise of a teenager turning into a werewolf, the execution was poor and had viewers wishing they had chosen to read a book like War and Peace instead."
"What are some redeeming qualities of ""Full Moon High""?","I've seen better teenage werewolf movies in my time, this one however, takes the cake. More comedy than horror, ""Full Moon High"" puts the ""c"" in cheese-fest. The star quality in this movie is not bad. Just the way it was made just sends in rolling downhill. Adam Arkin plays Tony, an all-American high school football player of the 50's who ends up not aging due to a werewolf bite in Transylvania. The most annoying part of the movie was the violin player. He drove everyone batty! Ed McMahon plays his ultra-conservative father who met his end of his own bullet. Adam's father Alan plays a shrink who seems to be not top of his game. After all these years Tony seems to be very out of place due to the attack, and then he'll get the chance to catch in his state. More laugh than blood shed, this movie is just a start in the 80's, ""Teen Wolf"" was an improvement from this! 1 out of 5 stars.","The movie ""Full Moon High"" is unimpressive as a teenage werewolf film with more comedy than horror. It comes off as a cheesy production with subpar execution. The character portrayals are lackluster and fail to engage the audience. The comedic elements are forced and fall flat, making the overall viewing experience rather dull and uninteresting. The plot lacks depth and fails to create any suspense or intrigue, leaving viewers underwhelmed and unsatisfied. Overall, ""Full Moon High"" fails to deliver on its potential and pales in comparison to other movies in its genre."
"Could this movie be considered a comeback for the director of ""Don't Look Now"" and ""Bad Timing""?","Could this be by the same director as Don't Look Now or Bad Timing? Poorly<br /><br />acted, clunkily edited. You only have to compare the various accident scenes in this with similar ones in Don't Look Now to see how much Roeg has lost his<br /><br />touch.<br /><br />Even the generally reliable Teresa Russell (looking a bit chunky these days, I'm afraid to report) cannot save this one. The plot is pure pseudo-religious hokum, the acting is wooden and Roeg's attempts at his trademark dislocation of time are pitiful.<br /><br />Avoid this one like the plague.","This movie was poorly acted and clunkily edited. The director seems to have lost his touch as seen in the comparisons with his previous works. Even the usually reliable Teresa Russell couldn't salvage the film. The plot is nonsensical, the acting is stiff, and the attempts at creating a unique time structure fall flat. It's best to steer clear of this movie."
"Would you recommend this movie to someone looking for a serious, plot-driven film experience?","This movie was strange... I watched it while ingesting a quarter of psilcybe cubensis (mushrooms). It was really weird. Im pretty sure you are supposed to watch it high, but mushrooms weren't enough. I couldn't stop laughing.. maybe lsd would work. The movie is a bunch of things morphing into other things, and dancing. Its really cheesy for todays standards but when it was released im sure it was well... one of a kind. I could see how some people would think this movie was good, but I didn't think it was very interesting, and I was on mushrooms at the time. If your having a party or something and everybodys pretty lit, pop it on you'll get a few laughs.","This movie may come off as bizarre and nonsensical to viewers looking for a coherent storyline. The over-the-top visuals and lack of substantial plot may leave some audience members feeling confused and unengaged. It seems like the film relies heavily on psychedelic substances to enhance the viewing experience, which might not resonate well with those seeking a more traditional narrative."
"Can you identify some key differences between the movie ""Even Cowgirls Get the Blues"" and the original book by Tom Robbins?","I absolutely love all of Tom Robbins books, so I was very excited and interested to see a movie made after one of his books. I knew that there would be no way that the movie would capture even half of Robbins' magic, but after seeing the movie, it made me never want to read the book again. The movie Even Cowgirls Get the Blues doesn't include an eighth of the content in the book, and it seems to focus more on the love connection between Bonanza Jellybean and Sissy than anything else. Along with the incredibly weak plot line in the movie, I think that better actors definitely could have been chosen to play the characters. The only actors in the movie that I thought played their roles fit to Robbins' descriptions in the book were Julian's friends, in their five minute clip in the beginning of the movie. Those who haven't read the book might enjoy the movie, but as a huge Tom Robbins fan, this movie was nothing but a disappointment.",
What makes this movie so disappointing and why wouldn't you recommend it?,"I couldn't believe how lame & pointless this was. Basically there is nothing to laugh at in the movie, hardly any scenes to get you interested in the rest of the movie. This movie pulled in some huge stars but they were all wasted in my opinion. I think Keanu Reeves must've taken some acting lessons a fews years after this movie before he stared in The Matrix. Uma Thurman looked very simple & humble. Luckily i got this movie for a very low price because its certainly not a movie to remember for any good reasons. I won't write anything about the story of the movie, but as you should know that she is meant to be the most famous hitchhiker across America because of her huge thumb. I would give this movie a 2 / 10. Before I watched this movie I was wondering why this movie has only got a 4.0/10, & now I know why. A very disappointing movie. Don't buy it even if you see it for under $5.","The movie was incredibly boring and lacked any spark that could keep the audience engaged. The humor fell flat, the plot failed to captivate, and even with big-name stars like Keanu Reeves and Uma Thurman, their talents were completely wasted. Reeves seemed to lack the acting skills he later showcased in The Matrix, and Thurman appeared plain and unremarkable. The story was forgettable, to say the least, with little to no intrigue. Overall, this film is a complete letdown and not worth the cheap price it may be offered at. It's clear why this movie has such a low rating, and I would strongly advise against spending any money on it."
What were some major drawbacks of the movie?,"I watched this film because I'm a big fan of River Phoenix and Joaquin Phoenix. I thought I would give their sister a try, Rain Phoenix. I regret checking it out. She was embarrasing and the film just has this weird plot if thats what you want to call it. Sissy was just weird and Jellybean just sits on a toilet who both sleep with this old man in the mountains, whats going on? I have never been so unsatisfied in my life. It was just total rubbish. I can't believe that the actors agreed to do such a waste of film, money, time and space. Have Sissy being 'beautiful' didnt get to me. I thought she was everything but that. Those thumbs were just stupid, and why do we care if she can hitchhike? WHATS THE POINT??? 0 out of 10, shame the poll doesnt have a 0, doesnt even deserve a 1. Hopefully, Rain is better in other films, I forgive her for this one performance, I mean I wouldnt do much better with that film.","The movie was a complete disappointment with a weird and unsatisfying plot. The characters were portrayed in a bizarre and embarrassing manner, particularly Rain Phoenix's performance was underwhelming. The storyline involving characters sleeping with an old man in the mountains was off-putting and made little sense. The film seemed like a waste of resources with no redeeming qualities, earning a 0 out of 10 rating."
What made this movie one of the most disappointing experiences for the reviewer?,"This is a candidate for the single most disappointing movie experience of my lifetime. Cool title, excellent director (I saw ""To Die For"" and ""Drugstore Cowboy"" before this), and hey - Uma Thurman in the cast. How can you go wrong? Well, that is a question that throbbed in my temples for hours after I watched this turkey.<br /><br />Disjointed and unfunny in an attempt to be offbeat, this is a dead-zone of a movie that should be avoided at all costs. Its critical lambasting was well deserved. You have here one of those rare films that does not contain a single redeeming quality. Zero out of ****.","The movie is described as disjointed, unfunny, and a dead-zone that lacks any redeeming qualities. The reviewer suggests avoiding it at all costs and believes it deserved the critical lambasting it received."
What makes this movie stand out from other films starring Uma Thurman?,"i'll admit. i think Uma Thurman is the most beautiful woman on the planet and have made it a mission to see every movie she has been in (unfortunately that includes the horrible films Batman and robin, The Avengers) and this one.<br /><br />this has to rank as the worst movie i've ever seen. (yes it ranks even lower than The Avengers). everyone looks lost in it and it is incoherent beyond belief. <br /><br />even if you think Uma is a goddess like i do, PLEASE PLEASE don't subject yourself to this movie. you'll hate yourself the following morning for it.","This movie is an absolute disaster. The plot is confusing, the characters seem directionless, and the overall coherence of the film is nonexistent. Even if you're a fan of Uma Thurman, it's best to steer clear of this one to avoid a major disappointment."
Can you explain the reason for this kind of film?,"Why would any legitimate actor having read the script participated in this piece of crap? My god it is actually embarrassing to even watch it. I can't imagine the shame these people must feel for being a part of it. Also, there is apparently some controversy as to whether River Phoenix had a cameo in the movie. He was uncredited but his list of roles here (IMDB) does give him credit. BTW... Rain is his sister for those who have were asking before. This film is proof that no matter how many big ""names"" you have. Sow's ears don't make silk purses. I love Lorraine Bracco but this was just sad, sad, sad... Maybe somebody someday can explain to me the reason for this kind of film. It has no endearing, entertaining, or even comedic properties in comparison to it's bad everything else.","Why would any legitimate actor having read the script participated in this piece of crap? My god it is actually embarrassing to even watch it. I can't imagine the shame these people must feel for being a part of it. Also, there is apparently some controversy as to whether River Phoenix had a cameo in the movie. He was uncredited but his list of roles here (IMDB) does give him credit. BTW... Rain is his sister for those who have were asking before. This film is proof that no matter how many big ""names"" you have. Sow's ears don't make silk purses. I love Lorraine Bracco but this was just sad, sad, sad... Maybe somebody someday can explain to me the reason for this kind of film. It has no endearing, entertaining, or even comedic properties in comparison to it's bad everything else."
What is the main premise of the movie?,"George Brent is a reporter sent to interview an heiress. She is supposedly the heir to a face cream fortune. He interviews her on her yacht. They fall for each other in bathing costumes.<br /><br />It turns out (quite early) that she is not an heiress. She part of an advertising campaign for the cold cream.<br /><br />The movie follows the ups and downs of their romance.<br /><br />The supporting cast does little to buoy it up. Davis and Brent carry the picture. Though it's fairly predictable, it is also fairly entertaining. It's far from her best. But, especially considering its obscurity in her oeuvre, it's not one of her worst, either.","George Brent plays a reporter tasked with interviewing a woman believed to be an heiress to a face cream fortune, only to discover she's part of an advertising campaign. The film focuses on their romance, with Bette Davis and Brent carrying the story. While it's predictable, it remains fairly entertaining, though the supporting cast doesn't add much to the movie."
What are some of the issues mentioned in this review?,"I'm not a huge Freddy Krueger fan,but that doesn't mean that I don't like Robert Englund and his other Nightmare on Elm Street movies.I think that Robert is a very good actor.Nobody plays a better Freddy Krueger than he does.But,no offense Robert, this movie sucked.The acting is terrible,the plot is really weak,and Freddy Krueger is the only part of the cast that's even worth watching.Sometimes sequels can be better than the first,such as the Friday the 13th franchise(I thought the remake was the best in the series.)But this isn't one of those movies.The original was good,the 2nd in my opinion was better,the 3rd was okay but I haven,t seen the others.Whatever you do,don,t make the same mistake I did by watching this piece of crap.","The reviewer criticizes the acting, weak plot, and overall quality of the movie, stating that only Freddy Krueger's character is worth watching. They express disappointment in the movie and advise against watching it."
Can you please provide a negative review of this movie?,"This movie is just bad. Bad. Bad. Bad. Now that I've gotten that out of the way, I feel better. This movie is poor from beginning to end. The story is lame. The 3-D segment is really bad. Freddy is at his cartoon character worst. Thank God they killed him off. And who wants to see Roseanne and Tom Arnold cameos?<br /><br />The only good thing in the movie is the little bit of backstory that we're given on Freddy. We see he once had a family, and we get to see his abusive, alcoholic father (Alice Cooper).<br /><br />Other than that, all bad. There are some quality actors in here (Lisa Zane and Yaphet Kotto), and they do their best, but the end result is just so bad. The hour and a half I spent watching this movie is and hour and half I can't ever get back.","This movie is a complete disaster. From the weak storyline to the terrible 3-D effects and over-the-top cartoonish portrayal of Freddy, everything about this film falls flat. The cameos by Roseanne and Tom Arnold only add to the cringeworthy moments. The only saving grace is a small glimpse into Freddy's past, but that alone cannot salvage this mess. Despite having talented actors like Lisa Zane and Yaphet Kotto, their efforts are overshadowed by the overall poor quality of the movie. Watching this film is a complete waste of time that you can never get back."
"What makes ""Freddy's Dead"" stand out from the previous film in the franchise?","""Freddy's Dead"" did the smartest thing it could've done after the disappointment of the fifth film. It started from scratch. Sure, this ""final"" film in the saga is silly but at least it's original. Some of the visuals are even a bit breath-taking. And the story of Freddy's kid (Lisa Zane) returning to town to face her evil father is unique.<br /><br />Overall, the movie is nothing but another cartoon made to get kids in the theater. It has a bunch of good actors (Zane, Yaphet Kotto, and Lezlie Deane) who basically look dumb and wander around like sheep ready for slaughter. It's one-sided, it's a magic-trick, and, in the end, it's nothing but goofy, childish entertainment.<br /><br />","Despite being original and visually pleasing, ""Freddy's Dead"" falls short with its silly and cartoonish approach. The talented actors in the movie seem unimpressive, leading to a lackluster and childish form of entertainment."
What were some aspects of the film that the reviewer found ridiculous and unsatisfactory?,"This movie was just terrible, the first movie wasn't that great i mean it's ridiculously stupid if they didn't have enough with the first 5 films you had to add another one, why just not make this into an ongoing series like James Bond, i'll tell you exactly why because the bond films are actually very very good and these films just stink, i don't understand, was this supposed to be a cross between to genres like horror and comedy for goodness sakes my 1 year old niece wouldn't be scared of such a ridiculous attempt at horror, a spit in the face of people who at least want to be scared at some point in a so called horror film. Please no more of these movies.","The film was described as terrible and ridiculously stupid. The reviewer mentioned a lack of quality compared to successful film series like James Bond, criticizing the attempt to blend horror and comedy resulting in a failed attempt at scaring the audience. The reviewer expressed disappointment and a strong dislike for the movie and expressed a desire for no more sequels."
"Can you describe the faults of ""Freddy's Dead""?","This is going to be the most useless comment I have ever put down, but yet I must do it to warn you about the atrocity to cinema that ""Freddy's Dead"" is. It is not only the very worst chapter of the Nightmare series, but is right up there with the worst horror sequel of all time! It was boring, pointless, and nearly death free. The horrible 3-D ending and over-the-top CORNY kills are enough to drive this ""film"" into the ground. However, it doesn't stop there, just add bad acting, a terrible script, and a number of cheesy cameos and you've got yourself this heaping pile of guano! It's no wonder why Freddy, as always played by Robert Englund, has made two postmortem appearances. I would too if I went out like that. This is a strictly fans only movie, don't stare at our shame.","""Freddy's Dead"" is deemed as an atrocious addition to the Nightmare series, a movie filled with boredom, lack of purpose, and minimal suspense. The 3-D conclusion and exaggeratedly cheesy killings contribute significantly to its downfall. The subpar acting, poor screenplay, and cringeworthy cameos further cement this film as a failure, leading many to consider it one of the worst horror sequels ever made. Overall, ""Freddy's Dead"" is a disappointment for both casual viewers and die-hard fans of the franchise."
What were some major flaws in the movie?,"It WAS supposed to be the last Freddy movie (and it was for over 10 years)--you would think they would have tried to get a good movie done. But they turned out giving us the worst of the series (and that's saying a lot). The plot made no sense (I seriously can't remember it), all the main characters were idiots (you REALLY wanted them dead) and Freddy's wisecracks were even worse than usual. The only remotely good bit about this was a brief (and funny) cameo by Johnny Depp (the first ""Nightmare"" movie was his first).<br /><br />Also I originally saw it in a theatre were the last section (reaccounting Freddy's childhood) was in 3-D. Well--the 3-D was lousy--faded colors and the image going in and out of focus. Also the three flying skulls which were supposed to be scary (I think) had the opposite reaction from my audience. EVERYBODY broke down laughing. Looks even worse on TV in 2-D. Pointless and stupid--very dull also. Skip this one and see ""Freddy vs. Jason"" again.","The plot in this supposed final installment of the Freddy series was nonsensical, the main characters were unlikeable, and Freddy's humor fell flat. The 3-D effects were poorly executed, with faded colors and blurry images, resulting in unintentional laughter from the audience. Overall, the movie was deemed pointless, stupid, and very dull. It's advised to skip this film and revisit ""Freddy vs. Jason"" instead."
What are some aspects of the movie that were criticized in the review?,"In the future of 2001, Freddy is after the last surviving teenager of Elm Street. Forsaking ANY scares whatsoever for unfunny attempts at humor and needless celebrity cameos (come on..Roseanne??? Tom Arnold??!!?? WTF?), this is tied with part 2 is the worst the demon child rapist ever got. Wow was this a piece of crap. Not even the great legendary Alice Cooper could make the stench of this movie go away. And when they hell did Freddy ever have a daughter?? The whole film is severely retarded in ever single conceivable way, shape & form. Rachel Talalay, you stink to high heaven, babe.<br /><br />My Grade: D- <br /><br />DVD Extras: Cast and Crew Bios; Jump to the 3D sequence and Jump to a Nightmare options (more extras for the film can be found on the seventh disc of The Nightmare Collection DVD set) <br /><br />DVD-Rom content: Trivia game; Screenplay; and web link","The reviewer disliked the lack of scares and humor, unnecessary celebrity cameos, including Roseanne and Tom Arnold, and the overall poor execution of the film. The addition of a daughter for Freddy Krueger was also criticized, along with the director Rachel Talalay. The reviewer gave the movie a low grade of D- and emphasized its numerous flaws."
What was the main highlight of the film that made it enjoyable to watch?,"The film was made in 1942 and with World War 11 around, the movie industry decided to capitalize on the fact that spies were around.<br /><br />The film is fun to watch due to the fabulous dancing of Eleanor Powell. The late Miss Powell was certainly a great hoofer in every sense of the word. She is again paired with a very young looking Red Skelton here. The two of them also starred in ""I Dood It.""<br /><br />Moroni Olsen, who 3 years later, was superb as the interrogating police officer in ""Mildred Pierce"" again appears as an officer asking Powell to deliver an item. Trouble is that Olsen and his rogues are really the Japanese spies.<br /><br />Bert Lahr is his usual brilliant self here and he gets ample support from Virginia O'Brien.",The film was a product of using the World War 11 background to create a spy-themed storyline that engaged the audience. The fabulous dancing of Eleanor Powell and the chemistry between her and Red Skelton added a fun element to the movie. Bert Lahr's brilliant performance and the support from Virginia O'Brien further enhanced the viewing experience.
